#-----------------------------------------------------------------
#
#	File Stations.dat - for use with HRPT Reader
#	Place in the same folder as ReadHRPT.exe
#	Edit the file according to the following instructions
#
# Entries are one per line, repeated for each city
#	Name, code, longitude, latitude
#	Name, code, longitude, latitude
#	Name, code, longitude, latitude
#
# - Entries are each four items long
# - names with spaces must be enclosed in quotation marks, e.g. "+Rio de Janeiro"
# - the leading character of the name is the marker if ".", "+", "x" or "*"
# - lines starting "#" are ignored
# - the decimal separator is a period ".", not a comma ","
# - longitude, west is negative
# - latitude, south is negative
# - locations are decimal degrees, NOT degrees and minutes
#
# Ville, Code, longitude (ouest est négatif), latitude (sud est négatif)
# Most information supplied by Gérard Kruger, F6BEK
# Some names anglicised, and some stations added by David Taylor
# Gérard also marked the EUMETSAT HRPT stations with "*"
#
# 2006 Jul 18  Svalbard KSAT station corrected
# 2006 Jul 21  Lannion data slightly adjusted
# 2006 Aug 07  Further locations added by Gérard Kruger
#              Stations are now grouped by region in this file
#              Previous version still available as stations1.dat
# 2006 Dec 15  More stations added by Gérard Kruger, F6BEK
#              Driven by the world-wide MetOp data we are now enjoying!
# 2006 Dec 31  More stations added by Gérard Kruger, F6BEK
# 2007 Feb 07  More stations added by Gérard Kruger, F6BEK
# 2007 Aug 15  Noted that "." also accepted as a marker character
# 2016-Aug-23  Added Melbourne
#
#-----------------------------------------------------------------
#
#
# -----------------------
# Africa and Indian Ocean
# -----------------------
#
+Abidjan,Abid,-4.02,5.32
+Accra,Accra,0.25,5.75
+Agadir,Ag,-9.67,30.50
+Alger,Al,3.0,36.83
+Alexandria,Alx,29.92,31.13
+Antanananarivo,Tan,47.50,-18.87
+Bamako,Bko,-7.98,12.67
+Banjul,Ban,-16.65,13.47
+Béchar,Bech,-2.28,31.58
+Belfast,Bel,-5.83,54.67
+Bissau,Bis,-15.65,11.87
"+Bobo Dioulasso",Bobo,-4.30,11.18
+Bouaflé,Bfle,-5.78,7.02
+Bucarest,Buc,26.12,44.42
+Budapest,Bud,19.05,47.50
"+Cape Verde",CVerde,-24.00,16.00
+Cairo,Cai,31.25,30.03
+Capetown,Cap,18.47,-33.93
+Casablanca,Cas,-7.58,33.65
+Conakry,Cry,-13.72,9.52
+Dakar,Dak,-17.45,14.63
+Dublin,Dub,-6.25,53.33
+Durban,Dur,31.00,-29.88
"+El Golea",ElGol,2.85,30.58
+Freetown,Free,-13.28,8.50
+Gao,Gao,-0.08,16.33
+Ghadames,Gha,9.50,30.13
+Haparanda,Hap,24.17,65.83
+Johannesburg,Joh,28.03,-26.17
+Kampala,Kam,32.58,0.32
+Lagos,Lag,3.47,6.45
+Lomé,Lome,1.35,6.17
+London,Lon,-0.17,51.50
+Marrakech,Mar,-8.0,31.82
+Monrovia,Mon,-10.77,6.33
+Mopti,Mop,-4.17,14.5
+Ndjamena,Ndj,14.99,12.17
+Nairobi,Nai,36.83,-1.28
+Niamey,Nia,2.08,13.53
+Nouadhibou,Nbou,-17.02,20.9
+Nouakchott,Ncht,-15.97,18.15
+Oran,Or,-0.63,35.75
+Ouagadougou,Ouaga,-1.67,12.33
+Ouargla,Ouarg,5.27,32.0
"+Port Harcourt",PtHa,7.17,4.72
